MONITORING_TIME,COMMIT_URL,FIXES
Wed Feb 10 19:54:20 UTC 2021,https://github.com/mmazi/rescu/commit/55a60966f1aa1ce81a83a8ba50d06aabe42c84d1,[]
Wed Feb 10 19:54:24 UTC 2021,https://github.com/mmazi/rescu/commit/e39649e5f682dffda06195863d78672b8e9d31af,[]
Wed Feb 10 19:54:26 UTC 2021,https://github.com/knowm/Yank/commit/203751286498a78ef776cb86d526e1a0cefb9cae,[]
Wed Feb 10 19:54:29 UTC 2021,https://github.com/knowm/Yank/commit/233ffd0c8824441cee0e1510174794fa97c8e35e,[]
Wed Feb 10 19:54:38 UTC 2021,https://github.com/networknt/json-schema-validator/commit/ff0a6fd22a8986e6343f0577d23569cac0414b61,[]
Wed Feb 10 19:54:47 UTC 2021,https://github.com/networknt/json-schema-validator/commit/3758d524d8671d44be747ad45fa9ad845a4409d0,[]
Wed Feb 10 19:54:57 UTC 2021,https://github.com/networknt/json-schema-validator/commit/60917a8537674076f0e6c99b0eb98244a2311da5,[]
Wed Feb 10 19:55:06 UTC 2021,https://github.com/networknt/json-schema-validator/commit/a5f9f7f9ed11853aa43193f445f6a9d4504bc623,[]
Wed Feb 10 19:55:15 UTC 2021,https://github.com/networknt/json-schema-validator/commit/a5eca449dcbf94ac0d25e1f3611828f232938fd7,[]
Wed Feb 10 19:55:24 UTC 2021,https://github.com/networknt/json-schema-validator/commit/1783eb5a783a030cdd2810d2b1867c55d0896391,[]
Wed Feb 10 19:55:33 UTC 2021,https://github.com/networknt/json-schema-validator/commit/76ad178528be67a00d397567aa5c451007665415,[]
Wed Feb 10 19:55:42 UTC 2021,https://github.com/networknt/json-schema-validator/commit/cb332a356f17270b3d353b9c557e4c0f3cc287f8,[]
Wed Feb 10 19:55:52 UTC 2021,https://github.com/networknt/json-schema-validator/commit/e1a5aa297a76c46efbb0aa9707f15fb4b5c7a03c,[]
Wed Feb 10 19:56:02 UTC 2021,https://github.com/networknt/json-schema-validator/commit/0ec11331fa65a36b03fa104579bf686d6379427c,[]
Wed Feb 10 19:56:07 UTC 2021,https://github.com/ashwanthkumar/gocd-build-github-pull-requests/commit/84b6e83478107dcb2d7e5452435e8c25a019be6d,[]
Wed Feb 10 19:56:11 UTC 2021,https://github.com/ashwanthkumar/gocd-build-github-pull-requests/commit/159bd1cdc9c5da1187b947dea446695e036183db,[]
Wed Feb 10 19:56:17 UTC 2021,https://github.com/albfernandez/juniversalchardet/commit/76055b9273b105f71b8baa682c48e91a014afffd,[]
Wed Feb 10 19:56:23 UTC 2021,https://github.com/albfernandez/juniversalchardet/commit/b24a59b9511cb516ea009b3e3afa592b3fbfc27f,[]
Wed Feb 10 19:56:27 UTC 2021,https://github.com/albfernandez/juniversalchardet/commit/7f9f28a1e89dbac311c0f852d9a3829e83e1858e,[]
Wed Feb 10 19:58:41 UTC 2021,https://github.com/wmixvideo/nfe/commit/4590181b1fb99c716296367555a3460979dc37b2,[]
Wed Feb 10 20:00:54 UTC 2021,https://github.com/wmixvideo/nfe/commit/45d27e8e5e8fd9f48ba73bd499c01f9095e986da,[]
Wed Feb 10 20:03:04 UTC 2021,https://github.com/wmixvideo/nfe/commit/fac4e5b0e1e3b4ff227708b0f85a3cbae9b84625,[]
